state,year,month,deaths
CT,2015,September,99.8663101604278
CT,2015,October,99.8716302952503
CT,2015,November,99.875
CT,2015,December,99.74968710888609
CT,2016,January,99.75728155339809
CT,2016,February,99.7607655502392
CT,2016,March,99.64664310954059
CT,2016,April,99.6547756041427
CT,2016,May,99.6648044692737
CT,2016,June,99.5599559955996
CT,2016,July,99.5584988962472
CT,2016,August,99.5689655172414
CT,2016,September,99.67707212055971
CT,2016,October,99.67320261437911
CT,2016,November,99.68051118210859
CT,2016,December,99.7946611909651
CT,2017,January,99.79695431472081
CT,2017,February,99.79879275653921
CT,2017,March,99.901768172888
CT,2017,April,99.803343166175
CT,2017,May,99.8086124401914
CT,2017,June,99.81042654028441
CT,2017,July,99.813258636788
CT,2017,August,99.81429897864442
CT,2017,September,99.8144712430427
CT,2017,October,99.81583793738491
CT,2017,November,99.8106060606061
CT,2015,January,18.0
CT,2015,February,16.0
CT,2015,March,13.0
CT,2015,April,13.0
CT,2015,May,14.0
CT,2015,June,14.0
CT,2015,July,17.0
CT,2015,August,18.0
CT,2015,September,18.0
CT,2015,October,20.0
CT,2015,November,22.0
CT,2015,December,23.0
CT,2016,January,24.0
CT,2016,February,25.0
CT,2016,March,26.0
CT,2016,April,26.0
CT,2016,May,24.0
CT,2016,June,23.0
CT,2016,July,21.0
CT,2016,August,25.0
CT,2016,September,25.0
CT,2016,October,26.0
CT,2016,November,24.0
CT,2016,December,22.0
CT,2017,January,23.0
CT,2017,February,26.0
CT,2017,March,29.0
CT,2017,April,28.0
CT,2017,May,30.0
CT,2017,June,31.0
CT,2017,July,33.0
CT,2017,August,28.0
CT,2017,September,30.0
CT,2017,October,30.0
CT,2017,November,34.0
CT,2015,January,96.0
CT,2015,February,97.0
CT,2015,March,103.0
CT,2015,April,121.0
CT,2015,May,123.0
CT,2015,June,123.0
CT,2015,July,146.0
CT,2015,August,152.0
CT,2015,September,161.0
CT,2015,October,192.0
CT,2015,November,217.0
CT,2015,December,214.0
CT,2016,January,240.0
CT,2016,February,258.0
CT,2016,March,273.0
CT,2016,April,295.0
CT,2016,May,331.0
CT,2016,June,369.0
CT,2016,July,387.0
CT,2016,August,421.0
CT,2016,September,443.0
CT,2016,October,438.0
CT,2016,November,461.0
CT,2016,December,508.0
CT,2017,January,527.0
CT,2017,February,545.0
CT,2017,March,575.0
CT,2017,April,580.0
CT,2017,May,600.0
CT,2017,June,608.0
CT,2017,July,637.0
CT,2017,August,643.0
CT,2017,September,648.0
CT,2017,October,669.0
CT,2017,November,670.0
DC,2015,January,41.0
DC,2015,February,41.0
DC,2015,March,42.0
DC,2015,April,43.0
DC,2015,May,43.0
DC,2015,June,39.0
DC,2015,July,36.0
DC,2015,August,33.0
DC,2015,September,29.0
DC,2015,October,31.0
DC,2015,November,32.0
DC,2015,December,37.0
DC,2016,January,38.0
DC,2016,February,39.0
DC,2016,March,42.0
DC,2016,April,46.0
DC,2016,May,57.0
DC,2016,June,60.0
DC,2016,July,67.0
DC,2016,August,76.0
DC,2016,September,80.0
DC,2016,October,83.0
DC,2016,November,97.0
DC,2016,December,99.0
DC,2017,January,108.0
DC,2017,February,112.0
DC,2017,March,123.0
DC,2017,April,132.0
DC,2017,May,131.0
DC,2017,June,143.0
DC,2017,July,144.0
DC,2017,August,142.0
DC,2017,September,147.0
DC,2017,October,150.0
DC,2017,November,139.0
DC,2015,January,50.0
DC,2015,February,48.0
DC,2015,March,49.0
DC,2015,April,52.0
DC,2015,May,53.0
DC,2015,June,53.0
DC,2015,July,51.0
DC,2015,August,53.0
DC,2015,September,64.0
DC,2015,October,69.0
DC,2015,November,77.0
DC,2015,December,83.0
DC,2016,January,84.0
DC,2016,February,83.0
DC,2016,March,89.0
DC,2016,April,95.0
DC,2016,May,107.0
DC,2016,June,113.0
DC,2016,July,117.0
DC,2016,August,121.0
DC,2016,September,120.0
DC,2016,October,122.0
DC,2016,November,137.0
DC,2016,December,146.0
DC,2017,January,155.0
DC,2017,February,168.0
DC,2017,March,177.0
DC,2017,April,179.0
DC,2017,May,179.0
DC,2017,June,178.0
DC,2017,July,176.0
